dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,bedrooms,X21.CMN.CMN_M_035,HT1_S041,0.28902730150417943,14,0
X21,1,house,X21.CMN.CMN_M_032,HT1_S041,-0.0830858461567431,12,2
X21,1,had,X21.CMN.CMN_M_032,HT1_S041,-0.7973086313297669,7,7
X21,1,nine,X21.CMN.CMN_M_032,HT1_S041,-0.0830858461567431,11,3
X21,1,bedrooms,X21.CMN.CMN_M_032,HT1_S041,-0.1876476100077731,10,4
X21,1,girl,X21.CMN.CMN_M_043,HT1_S025,0.30137469437525777,11,2
X21,1,fixing,X21.CMN.CMN_M_043,HT1_S025,0.30137469437525777,11,2
X21,1,dress,X21.CMN.CMN_M_043,HT1_S025,0.7222939175401425,12,1
X21,1,girl,X21.CMN.CMN_M_037,HT1_S025,0.7222939175401425,12,0
X21,1,fixing,X21.CMN.CMN_M_037,HT1_S025,0.31325603510627487,12,0
X21,1,dress,X21.CMN.CMN_M_037,HT1_S025,0.31325603510627487,12,0
X21,1,girl,X21.CMN.CMN_M_032,HT1_S025,0.28902730150417943,14,0
X21,1,fixing,X21.CMN.CMN_M_032,HT1_S025,0.057960474020476195,14,0
X21,1,dress,X21.CMN.CMN_M_032,HT1_S025,0.28902730150417943,14,0
X21,1,girl,X21.CMN.CMN_M_035,HT1_S025,0.7222939175401425,14,0
X21,1,fixing,X21.CMN.CMN_M_035,HT1_S025,0.7222939175401425,14,0
X21,1,dress,X21.CMN.CMN_M_035,HT1_S025,0.7222939175401425,14,0
X21,1,road,X21.CMN.CMN_M_032,HT1_S030,-0.524112457682311,10,4
X21,1,goes,X21.CMN.CMN_M_032,HT1_S030,-0.1876476100077731,13,1
X21,1,hill,X21.CMN.CMN_M_032,HT1_S030,-0.3453007662830801,11,3
X21,1,road,X21.CMN.CMN_M_035,HT1_S030,0.057960474020476195,10,4
X21,1,goes,X21.CMN.CMN_M_035,HT1_S030,0.057960474020476195,10,4
X21,1,hill,X21.CMN.CMN_M_035,HT1_S030,-0.3453007662830801,9,5
X21,1,road,X21.CMN.CMN_M_043,HT1_S030,0.7222939175401425,13,0
X21,1,goes,X21.CMN.CMN_M_043,HT1_S030,0.7222939175401425,13,0
X21,1,hill,X21.CMN.CMN_M_043,HT1_S030,-1.7500412403443397,1,12
X21,1,road,X21.CMN.CMN_M_037,HT1_S030,-0.24390303070416458,12,0
X21,1,goes,X21.CMN.CMN_M_037,HT1_S030,-0.05683580119275912,12,0
X21,1,hill,X21.CMN.CMN_M_037,HT1_S030,-0.1602548481335633,12,0
X21,1,father,X21.CMN.CMN_M_035,HT1_S029,-0.1876476100077731,14,0
X21,1,forgot,X21.CMN.CMN_M_035,HT1_S029,-0.524112457682311,11,3
